ExecTime,PlaceTime,placeID,PlaceQty,BrokerKey,SecType,SecKey,limit,price,EstPrice,Algo,TranCode,ExchangeID,IndGrpID,SectorID,Currency,MFTotalCost
421356,11:55,534819,1065,88126,csus,130032,MKT,38.68,38.6,                                                                                                                                                                                                                                                                ,0,1,1494,467,us,41154.28
1047303,15:37,541766,100000,10000206,mbus,140571,mkt,117.274,116.248,                                                                                                                                                                                                                                                                ,1,0,1329,1382,us,117274
327376,10:48,550481,100000,10000206,mbus,140571,mkt,117.116,117.37,                                                                                                                                                                                                                                                                ,1,0,1329,1382,us,117116
234706,10:03,552318,1475000,10000190,mbus,140033,MKT,115.361,115.409,                                                                                                                                                                                                                                                                ,1,0,1325,1378,us,1701574.75
181243,13:32,560425,2645,88126,csus,42088,mkt,49.02,48.96,                                                                                                                                                                                                                                                                ,0,1,1478,464,us,129644.4
38930,13:32,560426,1860,88126,csus,44207,mkt,72.955,72.93,                                                                                                                                                                                                                                                                ,0,3,1538,468,us,135696.3
193710,13:32,560427,3200,88126,csus,45275,mkt,42.47,42.44,                                                                                                                                                                                                                                                                ,1,3,1542,468,us,135912.5
14731996,10:43,561057,30000,88119,csus,121272,mkt,23.37,23.3,                                                                                                                                                                                                                                                                ,0,3,1527,465,us,1242075.44
1539000,14:50,561328,23135,88119,csus,121272,mkt,23.34,23.3,                                                                                                                                                                                                                                                                ,0,3,1527,465,us,1242075.44
338026,11:50,578473,3190000,10000195,mbus,148013,mkt,115.184,115.184,                                                                                                                                                                                                                                                                ,0,0,1328,1381,us,3674369.6
126270,11:52,578492,2875000,10000195,mbus,148016,mkt,105.902,105.902,                                                                                                                                                                                                                                                                ,0,0,1314,1367,us,3044682.5
84243,12:17,579722,1050000,10000073,mbus,148050,mkt,115.975,115.975,                                                                                                                                                                                                                                                                ,0,0,1313,1366,us,1217737.5
133416,14:00,579810,450000,10000195,mbus,148055,mkt,116.03,116.03,                                                                                                                                                                                                                                                                ,0,0,1325,1378,us,522135
273300,13:45,580593,2570000,10000190,mbus,148083,MKT,114.275,114.275,                                                                                                                                                                                                                                                                ,0,0,1328,1381,us,2936867.5
470113,10:10,583957,270000,10000195,mbus,148146,mkt,114.673,114.673,                                                                                                                                                                                                                                                                ,0,0,1315,1368,us,309617.1
